"4407.10.10 — Lumber, coniferous (softwood), end-jointed, thickness exceeding 6mm (Terminated 2017-12)",
"Total exports (HS 4407.10.10), Canada — The world",
,
,Dollars
Jan-12,3156613
Feb-12,4936599
Mar-12,5538870
Apr-12,5301789
May-12,5515040
Jun-12,6480923
Jul-12,6549495
Aug-12,7018521
Sep-12,5431230
Oct-12,6887477
Nov-12,7646594
Dec-12,6887612
Jan-13,4392027
Feb-13,6201829
Mar-13,7558255
Apr-13,9528074
May-13,6637833
Jun-13,6179290
Jul-13,7380397
Aug-13,6662853
Sep-13,5723760
Oct-13,7145905
Nov-13,7334246
Dec-13,5842514
Jan-14,5283113
Feb-14,5437504
Mar-14,6488519
Apr-14,11309338
May-14,9868001
Jun-14,8621167
Jul-14,9790523
Aug-14,7362647
Sep-14,8288342
Oct-14,10450057
Nov-14,8423474
Dec-14,9202949
Jan-15,7570110
Feb-15,8643129
Mar-15,9206358
Apr-15,8114025
May-15,7591885
Jun-15,9081944
Jul-15,8968039
Aug-15,9472229
Sep-15,9511984
Oct-15,10524540
Nov-15,10479525
Dec-15,11257868
Jan-16,10652597
Feb-16,12301562
Mar-16,13883311
Apr-16,11302897
May-16,11160005
Jun-16,11897143
Jul-16,11561773
Aug-16,13040027
Sep-16,11324864
Oct-16,12006125
Nov-16,13044637
Dec-16,12173268
Jan-17,11597490
,
,
How to cite: Statistics Canada. Canadian International Merchandise Trade Web Application,
https://www150.statcan.gc.ca/n1/pub/71-607-x/71-607-x2021004-eng.htm,
Accessed date: 2025-11-26,
